x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.000016,0.000059
-0.000058,0.000196
-0.000117,0.000371
-0.000195,0.000586
-0.000291,0.000839
-0.000405,0.001132
-0.000538,0.001463
-0.000688,0.001834
-0.000856,0.002243
-0.001043,0.002691
-0.001247,0.003178
-0.001470,0.003703
-0.001710,0.004268
-0.001969,0.004870
-0.002245,0.005511
-0.002539,0.006191
-0.002852,0.006909
-0.003182,0.007666
-0.003530,0.008461
-0.003896,0.009294
-0.004279,0.010165
-0.004681,0.011075
-0.005101,0.012023
-0.005538,0.013009
-0.005994,0.014034
-0.006467,0.015097
-0.006957,0.016198
-0.007466,0.017337
-0.007992,0.018514
-0.008536,0.019730
-0.009098,0.020984
-0.009678,0.022275
-0.010275,0.023605
-0.010890,0.024972
-0.011523,0.026378
-0.012174,0.027821
-0.012843,0.029303
-0.013529,0.030822
-0.014234,0.032379
-0.014956,0.033974
-0.015696,0.035606
-0.016455,0.037276
-0.017231,0.038984
-0.018025,0.040730
-0.018837,0.042513
-0.019668,0.044334
-0.020516,0.046192
-0.021383,0.048089
-0.022268,0.050022
-0.023171,0.051994
-0.024092,0.054002
-0.025031,0.056049
-0.025989,0.058133
-0.026965,0.060254
-0.027959,0.062413
-0.028972,0.064610
-0.030003,0.066844
-0.031052,0.069115
-0.032120,0.071424
-0.033206,0.073771
-0.034311,0.076155
-0.035435,0.078577
-0.036577,0.081036
-0.037737,0.083532
-0.038916,0.086067
-0.040114,0.088639
-0.041331,0.091248
-0.042566,0.093895
-0.043820,0.096579
-0.045093,0.099302
-0.046385,0.102061
-0.047695,0.104859
-0.049024,0.107694
-0.050373,0.110567
-0.051740,0.113478
-0.053126,0.116426
-0.054530,0.119412
-0.055954,0.122436
-0.057397,0.125498
-0.058859,0.128598
-0.060339,0.131736
-0.061839,0.134912
-0.063358,0.138125
-0.064896,0.141377
-0.066453,0.144667
-0.068028,0.147995
-0.069623,0.151361
-0.071237,0.154766
-0.072870,0.158208
-0.074522,0.161690
-0.076193,0.165209
-0.077883,0.168767
-0.079592,0.172363
-0.081321,0.175998
-0.083068,0.179672
-0.084834,0.183384
-0.086619,0.187135
-0.088423,0.190925
-0.090246,0.194753
-0.092088,0.198620
-0.093948,0.202527
-0.095828,0.206472
-0.097726,0.210457
-0.099643,0.214480
-0.101579,0.218543
-0.103534,0.222645
-0.105507,0.226786
-0.107499,0.230967
-0.109509,0.235187
-0.111538,0.239447
-0.113585,0.243746
-0.115651,0.248085
-0.117735,0.252463
-0.119837,0.256882
-0.121958,0.261340
-0.124096,0.265838
-0.126253,0.270376
-0.128428,0.274954
-0.130620,0.279572
-0.132830,0.284230
-0.135058,0.288929
-0.137304,0.293667
-0.139567,0.298446
-0.141848,0.303266
-0.144146,0.308125
-0.146461,0.313025
-0.148794,0.317966
-0.151143,0.322947
-0.153509,0.327969
-0.155893,0.333032
-0.158293,0.338135
-0.160709,0.343279
-0.163142,0.348463
-0.165592,0.353689
-0.168057,0.358955
-0.170539,0.364262
-0.173037,0.369610
-0.175550,0.374999
-0.178079,0.380429
-0.180624,0.385900
-0.183184,0.391412
-0.185759,0.396964
-0.188350,0.402558
-0.190956,0.408193
-0.193576,0.413869
-0.196211,0.419586
-0.198861,0.425344
-0.201524,0.431143
-0.204203,0.436983
-0.206895,0.442864
-0.209601,0.448786
-0.212321,0.454749
-0.215054,0.460753
-0.217801,0.466798
-0.220561,0.472884
-0.223333,0.479010
-0.226119,0.485178
-0.228918,0.491386
-0.231729,0.497635
-0.234552,0.503925
-0.237388,0.510255
-0.240235,0.516626
-0.243094,0.523037
-0.245965,0.529489
-0.248848,0.535981
-0.251741,0.542513
-0.254646,0.549086
-0.257561,0.555698
-0.260488,0.562351
-0.263424,0.569044
-0.266371,0.575776
-0.269328,0.582548
-0.272296,0.589360
-0.275272,0.596211
-0.278259,0.603101
-0.281254,0.610031
-0.284259,0.616999
-0.287273,0.624007
-0.290295,0.631053
-0.293327,0.638138
-0.296366,0.645262
-0.299414,0.652424
-0.302469,0.659624
-0.305533,0.666861
-0.308604,0.674137
-0.311682,0.681450
-0.314768,0.688801
-0.317861,0.696189
-0.320960,0.703614
-0.324066,0.711076
-0.327179,0.718574
-0.330298,0.726109
-0.333422,0.733680
-0.336553,0.741287
-0.339689,0.748929
-0.342830,0.756607
-0.345977,0.764321
-0.349129,0.772069
-0.352285,0.779852
-0.355446,0.787669
-0.358612,0.795520
-0.361782,0.803406
-0.364955,0.811324
-0.368133,0.819277
-0.371314,0.827262
