x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-0.000003,0.000015
-0.000018,0.000065
-0.000051,0.000154
-0.000102,0.000282
-0.000172,0.000448
-0.000260,0.000654
-0.000366,0.000900
-0.000490,0.001184
-0.000632,0.001507
-0.000792,0.001869
-0.000970,0.002269
-0.001167,0.002709
-0.001381,0.003187
-0.001614,0.003705
-0.001864,0.004260
-0.002132,0.004855
-0.002419,0.005488
-0.002723,0.006159
-0.003045,0.006869
-0.003385,0.007617
-0.003743,0.008404
-0.004120,0.009229
-0.004514,0.010092
-0.004925,0.010994
-0.005355,0.011933
-0.005803,0.012911
-0.006269,0.013927
-0.006753,0.014981
-0.007254,0.016073
-0.007774,0.017203
-0.008312,0.018371
-0.008868,0.019578
-0.009441,0.020823
-0.010033,0.022106
-0.010642,0.023427
-0.011269,0.024787
-0.011914,0.026184
-0.012577,0.027620
-0.013258,0.029093
-0.013956,0.030605
-0.014673,0.032154
-0.015408,0.033741
-0.016160,0.035367
-0.016931,0.037030
-0.017720,0.038731
-0.018527,0.040470
-0.019352,0.042246
-0.020195,0.044061
-0.021057,0.045913
-0.021936,0.047804
-0.022834,0.049731
-0.023751,0.051697
-0.024685,0.053701
-0.025638,0.055742
-0.026609,0.057821
-0.027599,0.059937
-0.028607,0.062092
-0.029634,0.064284
-0.030679,0.066514
-0.031743,0.068781
-0.032825,0.071086
-0.033926,0.073430
-0.035046,0.075810
-0.036184,0.078229
-0.037341,0.080685
-0.038517,0.083179
-0.039711,0.085711
-0.040925,0.088281
-0.042157,0.090888
-0.043408,0.093534
-0.044678,0.096217
-0.045967,0.098938
-0.047275,0.101697
-0.048601,0.104494
-0.049947,0.107329
-0.051312,0.110202
-0.052696,0.113113
-0.054099,0.116062
-0.055521,0.119049
-0.056962,0.122075
-0.058422,0.125138
-0.059902,0.128240
-0.061400,0.131380
-0.062918,0.134558
-0.064455,0.137774
-0.066011,0.141029
-0.067586,0.144323
-0.069181,0.147654
-0.070794,0.151025
-0.072427,0.154434
-0.074079,0.157881
-0.075750,0.161368
-0.077441,0.164893
-0.079150,0.168457
-0.080879,0.172059
-0.082627,0.175701
-0.084394,0.179381
-0.086181,0.183101
-0.087986,0.186860
-0.089810,0.190658
-0.091654,0.194495
-0.093516,0.198371
-0.095398,0.202287
-0.097298,0.206242
-0.099218,0.210237
-0.101156,0.214271
-0.103113,0.218345
-0.105089,0.222459
-0.107084,0.226612
-0.109097,0.230805
-0.111130,0.235038
-0.113180,0.239311
-0.115250,0.243624
-0.117337,0.247977
-0.119444,0.252370
-0.121568,0.256804
-0.123711,0.261278
-0.125872,0.265792
-0.128051,0.270346
-0.130248,0.274941
-0.132464,0.279577
-0.134697,0.284253
-0.136948,0.288970
-0.139216,0.293727
-0.141502,0.298525
-0.143806,0.303365
-0.146127,0.308245
-0.148466,0.313166
-0.150821,0.318128
-0.153194,0.323131
-0.155584,0.328175
-0.157990,0.333260
-0.160414,0.338386
-0.162853,0.343554
-0.165310,0.348763
-0.167783,0.354013
-0.170272,0.359305
-0.172777,0.364638
-0.175298,0.370012
-0.177835,0.375428
-0.180387,0.380885
-0.182956,0.386384
-0.185539,0.391924
-0.188138,0.397506
-0.190752,0.403129
-0.193381,0.408794
-0.196025,0.414500
-0.198683,0.420248
-0.201356,0.426037
-0.204043,0.431868
-0.206744,0.437741
-0.209460,0.443655
-0.212189,0.449610
-0.214932,0.455607
-0.217688,0.461646
-0.220458,0.467726
-0.223241,0.473847
-0.226037,0.480010
-0.228845,0.486214
-0.231667,0.492459
-0.234500,0.498745
-0.237346,0.505073
-0.240204,0.511442
-0.243074,0.517851
-0.245956,0.524302
-0.248850,0.530794
-0.251754,0.537327
-0.254670,0.543900
-0.257597,0.550514
-0.260534,0.557168
-0.263483,0.563863
-0.266441,0.570599
-0.269410,0.577375
-0.272389,0.584190
-0.275378,0.591046
-0.278376,0.597942
-0.281384,0.604878
-0.284401,0.611853
-0.287427,0.618868
-0.290462,0.625922
-0.293506,0.633016
-0.296558,0.640148
-0.299619,0.647320
-0.302687,0.654530
-0.305764,0.661779
-0.308848,0.669066
-0.311940,0.676391
-0.315039,0.683755
-0.318145,0.691156
-0.321259,0.698595
-0.324379,0.706071
-0.327505,0.713585
-0.330638,0.721136
-0.333777,0.728723
-0.336922,0.736347
-0.340073,0.744008
-0.343229,0.751704
-0.346391,0.759436
-0.349558,0.767204
-0.352729,0.775007
-0.355906,0.782846
-0.359087,0.790719
-0.362273,0.798626
-0.365462,0.806568
-0.368656,0.814544
-0.371853,0.822553
-0.375054,0.830596
-0.378259,0.838672
-0.381466,0.846781
-0.384677,0.854922
-0.387890,0.863095
-0.391106,0.871299
-0.394324,0.879536
-0.397544,0.887803
-0.400766,0.896101
-0.403990,0.904429
-0.407215,0.912787
-0.410442,0.921175
-0.413669,0.929592
-0.416897,0.938038
-0.420126,0.946513
-0.423356,0.955015
-0.426585,0.963545
-0.429814,0.972102
-0.433043,0.980686
-0.436272,0.989297
-0.439500,0.997933
-0.442727,1.006594
-0.445952,1.015281
-0.449176,1.023991
-0.452398,1.032726
-0.455619,1.041485
-0.458836,1.050266
-0.462052,1.059071
-0.465264,1.067897
-0.468474,1.076745
-0.471680,1.085613
-0.474882,1.094503
-0.478080,1.103413
-0.481274,1.112342
-0.484463,1.121290
-0.487647,1.130257
-0.490826,1.139242
-0.494000,1.148244
-0.497167,1.157263
-0.500328,1.166298
-0.503482,1.175350
-0.506629,1.184416
-0.509768,1.193498
-0.512900,1.202593
-0.516023,1.211702
-0.519137,1.220825
-0.522243,1.229959
-0.525338,1.239106
-0.528424,1.248264
-0.531498,1.257433
-0.534562,1.266612
-0.537614,1.275801
-0.540654,1.284999
-0.543682,1.294205
-0.546696,1.303420
-0.549696,1.312642
-0.552682,1.321871
-0.555653,1.331106
-0.558609,1.340347
-0.561549,1.349594
-0.564471,1.358845
-0.567377,1.368101
-0.570264,1.377360
-0.573132,1.386622
-0.575981,1.395888
-0.578810,1.405155
-0.581618,1.414425
-0.584404,1.423695
-0.587167,1.432967
-0.589907,1.442239
-0.592623,1.451511
