x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000052,0.000070
0.000208,0.000285
0.000473,0.000629
0.000851,0.001084
0.001340,0.001650
0.001941,0.002326
0.002652,0.003111
0.003473,0.004004
0.004402,0.005003
0.005439,0.006106
0.006582,0.007314
0.007830,0.008624
0.009182,0.010034
0.010638,0.011545
0.012195,0.013154
0.013853,0.014860
0.015611,0.016663
0.017468,0.018560
0.019421,0.020550
0.021471,0.022633
0.023616,0.024807
0.025855,0.027070
0.028186,0.029423
0.030609,0.031863
0.033123,0.034390
0.035726,0.037003
0.038420,0.039699
0.041203,0.042478
0.044074,0.045339
0.047032,0.048279
0.050075,0.051298
0.053202,0.054395
0.056412,0.057569
0.059705,0.060819
0.063077,0.064143
0.066530,0.067542
0.070060,0.071013
0.073668,0.074556
0.077351,0.078170
0.081108,0.081854
0.084939,0.085606
0.088843,0.089427
0.092817,0.093315
0.096860,0.097269
0.100973,0.101288
0.105152,0.105372
0.109398,0.109519
0.113709,0.113728
0.118083,0.118000
0.122520,0.122332
0.127018,0.126725
0.131576,0.131177
0.136194,0.135687
0.140869,0.140255
0.145601,0.144880
0.150388,0.149561
0.155230,0.154298
0.160124,0.159089
0.165071,0.163934
0.170069,0.168832
0.175116,0.173783
0.180212,0.178786
0.185355,0.183840
0.190544,0.188945
0.195779,0.194099
0.201057,0.199303
0.206379,0.204556
0.211742,0.209856
0.217146,0.215204
0.222590,0.220599
0.228072,0.226040
0.233591,0.231527
0.239147,0.237060
0.244738,0.242637
0.250364,0.248258
0.256022,0.253924
0.261713,0.259632
0.267434,0.265384
0.273186,0.271178
0.278967,0.277014
0.284776,0.282891
0.290612,0.288810
0.296474,0.294770
0.302361,0.300770
0.308272,0.306810
0.314206,0.312890
0.320163,0.319010
0.326140,0.325168
0.332138,0.331366
0.338156,0.337602
0.344192,0.343876
0.350246,0.350189
0.356316,0.356539
0.362402,0.362927
0.368504,0.369352
0.374619,0.375814
0.380749,0.382314
0.386890,0.388850
0.393044,0.395423
0.399208,0.402032
0.405383,0.408678
0.411568,0.415360
0.417761,0.422078
0.423962,0.428832
0.430171,0.435621
0.436387,0.442447
0.442608,0.449308
0.448835,0.456205
0.455067,0.463138
0.461303,0.470106
0.467543,0.477110
0.473785,0.484149
0.480030,0.491223
0.486277,0.498333
0.492525,0.505479
0.498774,0.512659
0.505023,0.519875
0.511273,0.527126
0.517521,0.534413
0.523769,0.541735
0.530015,0.549092
0.536259,0.556485
0.542501,0.563913
0.548740,0.571376
0.554977,0.578875
0.561209,0.586409
0.567439,0.593978
0.573664,0.601583
0.579885,0.609224
0.586102,0.616900
0.592313,0.624611
0.598520,0.632358
0.604722,0.640141
0.610918,0.647959
0.617108,0.655812
0.623292,0.663701
0.629471,0.671626
0.635643,0.679586
0.641809,0.687581
0.647969,0.695612
0.654122,0.703679
0.660269,0.711781
0.666409,0.719918
0.672542,0.728091
0.678669,0.736299
0.684788,0.744543
0.690901,0.752822
0.697007,0.761136
0.703106,0.769485
0.709198,0.777869
0.715284,0.786288
0.721362,0.794742
0.727434,0.803231
0.733499,0.811754
0.739558,0.820312
0.745610,0.828904
0.751655,0.837531
0.757694,0.846192
0.763727,0.854887
0.769753,0.863615
0.775774,0.872378
0.781788,0.881173
0.787797,0.890003
0.793800,0.898865
0.799797,0.907760
0.805789,0.916688
0.811776,0.925648
0.817757,0.934641
0.823734,0.943666
0.829706,0.952723
0.835673,0.961811
0.841636,0.970930
0.847594,0.980081
0.853549,0.989262
0.859499,0.998474
0.865446,1.007716
0.871389,1.016987
0.877330,1.026289
0.883266,1.035619
0.889200,1.044979
0.895132,1.054367
0.901061,1.063784
0.906987,1.073228
0.912912,1.082700
0.918834,1.092200
0.924755,1.101726
0.930675,1.111279
0.936593,1.120858
0.942511,1.130462
0.948427,1.140092
0.954343,1.149748
0.960259,1.159427
0.966174,1.169132
0.972089,1.178859
0.978005,1.188611
0.983921,1.198385
0.989838,1.208182
0.995756,1.218002
1.001675,1.227843
1.007596,1.237705
1.013518,1.247589
1.019442,1.257493
1.025367,1.267417
1.031295,1.277361
1.037226,1.287324
1.043159,1.297306
1.049094,1.307306
1.055033,1.317324
1.060975,1.327360
1.066921,1.337413
1.072870,1.347483
1.078823,1.357569
1.084779,1.367670
1.090741,1.377787
1.096706,1.387919
1.102676,1.398066
1.108651,1.408226
1.114631,1.418400
1.120616,1.428587
1.126606,1.438787
1.132602,1.449000
1.138604,1.459224
1.144611,1.469460
1.150625,1.479706
1.156645,1.489963
1.162671,1.500231
1.168704,1.510508
1.174743,1.520795
1.180789,1.531090
1.186843,1.541394
1.192903,1.551706
1.198971,1.562026
1.205047,1.572352
1.211130,1.582686
1.217221,1.593026
1.223320,1.603373
1.229427,1.613725
1.235542,1.624082
1.241666,1.634444
1.247798,1.644810
1.253939,1.655181
1.260089,1.665555
1.266247,1.675933
1.272415,1.686314
1.278592,1.696697
1.284778,1.707082
1.290974,1.717469
1.297179,1.727858
1.303394,1.738248
1.309618,1.748639
1.315853,1.759030
1.322097,1.769421
1.328351,1.779812
1.334616,1.790203
1.340891,1.800592
1.347176,1.810980
1.353472,1.821367
1.359778,1.831752
