Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570096078.701275,-0.000000,1.000000,1.986043,0.057695,0.057614,0.000080
3570096078.711275,-0.000000,1.000000,1.986618,0.057672,0.057592,0.000080
3570096078.721275,-0.000000,1.000000,1.987194,0.057649,0.057570,0.000079
3570096078.731276,-0.000000,1.000000,1.987769,0.057626,0.057548,0.000078
3570096078.741276,-0.000000,1.000000,1.988344,0.057603,0.057525,0.000077
3570096078.751276,-0.000000,1.000000,1.988919,0.057580,0.057503,0.000076
3570096078.761276,-0.000000,1.000000,1.989494,0.057557,0.057481,0.000076
3570096078.771277,-0.000000,1.000000,1.990069,0.057534,0.057459,0.000075
3570096078.781276,-0.000000,1.000000,1.990643,0.057511,0.057437,0.000074
3570096078.791277,-0.000000,1.000000,1.991217,0.057488,0.057415,0.000073
3570096078.801277,-0.000000,1.000000,1.991791,0.057465,0.057392,0.000072
3570096078.811277,-0.000000,1.000000,1.992364,0.057442,0.057370,0.000072
3570096078.821278,-0.000000,1.000000,1.992938,0.057419,0.057348,0.000071
3570096078.831279,-0.000000,1.000000,1.993511,0.057396,0.057326,0.000070
3570096078.841280,-0.000000,1.000000,1.994084,0.057373,0.057304,0.000070
3570096078.851278,-0.000000,1.000000,1.994656,0.057351,0.057282,0.000069
3570096078.861280,-0.000000,1.000000,1.995229,0.057328,0.057260,0.000068
3570096078.871280,-0.000000,1.000000,1.995801,0.057305,0.057238,0.000067
3570096078.881279,-0.000000,1.000000,1.996373,0.057282,0.057216,0.000067
3570096078.891281,-0.000000,1.000000,1.996945,0.057260,0.057194,0.000066
3570096078.901281,-0.000000,1.000000,1.997517,0.057237,0.057171,0.000065
3570096078.911280,-0.000000,1.000000,1.998088,0.057214,0.057149,0.000065
3570096078.921282,-0.000000,1.000000,1.998659,0.057191,0.057127,0.000064
3570096078.931279,-0.000000,1.000000,1.999230,0.057169,0.057105,0.000063
3570096078.941282,-0.000000,1.000000,1.999801,0.057146,0.057083,0.000063
3570096078.951283,-0.000000,1.000000,2.000371,0.057123,0.057061,0.000062
3570096078.961282,-0.000000,1.000000,2.000942,0.057101,0.057039,0.000061
3570096078.971282,-0.000000,1.000000,2.001512,0.057078,0.057017,0.000061
3570096078.981284,-0.000000,1.000000,2.002082,0.057056,0.056995,0.000060
3570096078.991283,-0.000000,1.000000,2.002651,0.057033,0.056973,0.000060
3570096079.001284,-0.000000,1.000000,2.003221,0.057010,0.056951,0.000059
3570096079.011285,-0.000000,1.000000,2.003790,0.056988,0.056929,0.000058
3570096079.021284,-0.000000,1.000000,2.004359,0.056965,0.056907,0.000058
3570096079.031285,-0.000000,1.000000,2.004927,0.056943,0.056886,0.000057
3570096079.041286,-0.000000,1.000000,2.005496,0.056920,0.056864,0.000057
3570096079.051286,-0.000000,1.000000,2.006064,0.056898,0.056842,0.000056
3570096079.061285,-0.000000,1.000000,2.006632,0.056875,0.056820,0.000055
3570096079.071287,-0.000000,1.000000,2.007200,0.056853,0.056798,0.000055
3570096079.081287,-0.000000,1.000000,2.007768,0.056830,0.056776,0.000054
3570096079.091287,-0.000000,1.000000,2.008335,0.056808,0.056754,0.000054
3570096079.101287,-0.000000,1.000000,2.008903,0.056785,0.056732,0.000053
3570096079.111289,-0.000000,1.000000,2.009470,0.056763,0.056710,0.000053
3570096079.121288,-0.000000,1.000000,2.010036,0.056741,0.056688,0.000052
3570096079.131290,-0.000000,1.000000,2.010603,0.056718,0.056667,0.000052
3570096079.141289,-0.000000,1.000000,2.011169,0.056696,0.056645,0.000051
3570096079.151289,-0.000000,1.000000,2.011735,0.056673,0.056623,0.000051
3570096079.161289,-0.000000,1.000000,2.012301,0.056651,0.056601,0.000050
3570096079.171288,-0.000000,1.000000,2.012867,0.056629,0.056579,0.000049
3570096079.181289,-0.000000,1.000000,2.013432,0.056606,0.056557,0.000049
3570096079.191291,-0.000000,1.000000,2.013998,0.056584,0.056536,0.000048
3570096079.201291,-0.000000,1.000000,2.014563,0.056562,0.056514,0.000048
3570096079.211291,-0.000000,1.000000,2.015127,0.056539,0.056492,0.000047
3570096079.221291,-0.000000,1.000000,2.015692,0.056517,0.056470,0.000047
3570096079.231292,-0.000000,1.000000,2.016256,0.056495,0.056448,0.000047
3570096079.241292,-0.000000,1.000000,2.016821,0.056473,0.056427,0.000046
3570096079.251293,-0.000000,1.000000,2.017385,0.056450,0.056405,0.000046
3570096079.261292,-0.000000,1.000000,2.017948,0.056428,0.056383,0.000045
3570096079.271293,-0.000000,1.000000,2.018512,0.056406,0.056361,0.000045
3570096079.281292,0.061861,1.000000,2.019075,0.056384,0.056340,0.000044
3570096079.291293,0.154668,1.000000,2.019638,0.056403,0.056318,0.000085
3570096079.301295,0.288675,1.000000,2.020201,0.056485,0.056296,0.000189
3570096079.311296,0.412397,1.000000,2.020764,0.056655,0.056275,0.000381
3570096079.321294,0.577349,1.000000,2.021327,0.056907,0.056290,0.000618
3570096079.331295,0.577349,1.000000,2.021891,0.057268,0.056360,0.000908
3570096079.341296,0.752617,1.000000,2.022458,0.057626,0.056510,0.001116
3570096079.351295,0.886654,1.000000,2.023027,0.058100,0.056734,0.001366
3570096079.361297,1.000000,1.000000,2.023599,0.058662,0.057056,0.001606
3570096079.371296,1.000000,1.000000,2.024175,0.059298,0.057378,0.001920
3570096079.381297,1.000000,1.000000,2.024755,0.059930,0.057804,0.002127
3570096079.391297,1.000000,1.000000,2.025341,0.060561,0.058309,0.002252
3570096079.401298,1.000000,1.000000,2.025933,0.061191,0.058882,0.002309
3570096079.411297,1.000000,1.000000,2.026530,0.061820,0.059455,0.002365
3570096079.421298,1.000000,1.000000,2.027133,0.062448,0.060028,0.002420
3570096079.431300,1.000000,1.000000,2.027742,0.063075,0.060600,0.002475
