Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570099117.241141,1.000000,2.000000,0.010993,0.038772,0.035300,0.003472
3570099117.251140,1.000000,2.000000,0.011355,0.039369,0.035881,0.003487
3570099117.261141,1.000000,2.000000,0.011723,0.039965,0.036463,0.003502
3570099117.271142,1.000000,2.000000,0.012096,0.040561,0.037045,0.003516
3570099117.281140,1.000000,2.000000,0.012475,0.041156,0.037626,0.003530
3570099117.291143,1.000000,2.000000,0.012860,0.041751,0.038207,0.003544
3570099117.301142,1.000000,2.000000,0.013251,0.042346,0.038787,0.003558
3570099117.311138,1.000000,2.000000,0.013647,0.042940,0.039368,0.003572
3570099117.321144,1.000000,2.000000,0.014050,0.043534,0.039948,0.003585
3570099117.331142,1.000000,2.000000,0.014458,0.044127,0.040528,0.003599
3570099117.341144,1.000000,2.000000,0.014872,0.044720,0.041108,0.003612
3570099117.351144,1.000000,2.000000,0.015292,0.045312,0.041688,0.003625
3570099117.361145,1.000000,2.000000,0.015717,0.045905,0.042267,0.003637
3570099117.371144,1.000000,2.000000,0.016149,0.046496,0.042846,0.003650
3570099117.381145,1.000000,2.000000,0.016586,0.047088,0.043425,0.003662
3570099117.391146,1.000000,2.000000,0.017029,0.047679,0.044004,0.003675
3570099117.401146,1.000000,2.000000,0.017477,0.048269,0.044583,0.003687
3570099117.411142,1.000000,2.000000,0.017932,0.048860,0.045161,0.003699
3570099117.421146,1.000000,2.000000,0.018392,0.049449,0.045739,0.003710
3570099117.431147,1.000000,2.000000,0.018858,0.050039,0.046317,0.003722
3570099117.441147,1.000000,2.000000,0.019330,0.050628,0.046894,0.003733
3570099117.451147,1.000000,2.000000,0.019808,0.051217,0.047472,0.003745
3570099117.461149,1.000000,2.000000,0.020291,0.051805,0.048049,0.003756
3570099117.471148,1.000000,2.000000,0.020780,0.052393,0.048626,0.003767
3570099117.481148,1.000000,2.000000,0.021275,0.052981,0.049203,0.003778
3570099117.491148,1.000000,2.000000,0.021776,0.053568,0.049779,0.003789
3570099117.501149,1.000000,2.000000,0.022282,0.054155,0.050356,0.003799
3570099117.511145,1.000000,2.000000,0.022794,0.054741,0.050932,0.003810
3570099117.521149,1.000000,2.000000,0.023312,0.055328,0.051507,0.003820
3570099117.531150,1.000000,2.000000,0.023836,0.055913,0.052083,0.003830
3570099117.541151,1.000000,2.000000,0.024366,0.056499,0.052659,0.003841
3570099117.551150,1.000000,2.000000,0.024901,0.057084,0.053234,0.003851
3570099117.561151,1.000000,2.000000,0.025442,0.057669,0.053809,0.003860
3570099117.571151,1.000000,2.000000,0.025988,0.058254,0.054383,0.003870
3570099117.581151,1.000000,2.000000,0.026541,0.058838,0.054958,0.003880
3570099117.591152,1.000000,2.000000,0.027099,0.059422,0.055532,0.003889
3570099117.601153,1.000000,2.000000,0.027663,0.060005,0.056106,0.003899
3570099117.611149,1.000000,2.000000,0.028233,0.060588,0.056680,0.003908
3570099117.621155,1.000000,2.000000,0.028808,0.061171,0.057254,0.003918
3570099117.631155,1.000000,2.000000,0.029389,0.061754,0.057827,0.003927
3570099117.641154,1.000000,2.000000,0.029976,0.062336,0.058400,0.003936
3570099117.651154,1.000000,2.000000,0.030569,0.062918,0.058973,0.003945
3570099117.661155,1.000000,2.000000,0.031167,0.063499,0.059546,0.003954
3570099117.671154,1.000000,2.000000,0.031771,0.064081,0.060118,0.003962
3570099117.681155,1.000000,2.000000,0.032381,0.064662,0.060691,0.003971
3570099117.691155,1.000000,2.000000,0.032996,0.065242,0.061263,0.003980
3570099117.701156,1.000000,2.000000,0.033618,0.065823,0.061835,0.003988
3570099117.711152,1.000000,2.000000,0.034244,0.066403,0.062406,0.003996
3570099117.721156,1.000000,2.000000,0.034877,0.066982,0.062978,0.004005
3570099117.731155,1.000000,2.000000,0.035515,0.067562,0.063549,0.004013
3570099117.741158,1.000000,2.000000,0.036160,0.068141,0.064120,0.004021
3570099117.751156,1.000000,2.000000,0.036809,0.068720,0.064690,0.004029
3570099117.761157,1.000000,2.000000,0.037465,0.069298,0.065261,0.004037
3570099117.771158,1.000000,2.000000,0.038126,0.069876,0.065831,0.004045
3570099117.781158,1.000000,2.000000,0.038793,0.070454,0.066401,0.004053
3570099117.791159,1.000000,2.000000,0.039465,0.071032,0.066971,0.004061
3570099117.801159,1.000000,2.000000,0.040144,0.071609,0.067541,0.004068
