Absolute Time,X,k_psi,x_in,uhat,uin,utilde
3570098669.566894,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.576894,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.586894,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.596894,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.606891,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.616895,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.626896,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.636897,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.646896,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.656897,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.666897,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.676897,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.686897,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.696898,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.706895,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.716898,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.726900,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.736899,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.746899,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.756900,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.766899,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.776900,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.786902,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.796901,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.806898,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.816900,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.826903,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.836904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.846903,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.856904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.866904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.876904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.886904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.896904,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.906901,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.916905,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.926906,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.936905,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
3570098669.946906,-0.000000,0.500000,0.000000,0.000000,0.000000,0.000000
