Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat,lost
3572009596.402614,-0.010198,-0.004708,-0.130166,-0.001435,-0.022787,0.002749,1.000000
3572009596.412614,-0.038151,-0.004872,0.010733,-0.005246,0.020354,0.001996,1.000000
3572009596.422615,0.014324,-0.005857,-0.007500,-0.004781,0.009954,0.002540,1.000000
3572009596.432615,0.009107,-0.005263,-0.053334,-0.004869,0.017350,0.002762,1.000000
3572009596.442616,-0.042736,-0.004840,0.014638,-0.006309,-0.007920,0.003197,1.000000
3572009596.452615,0.010236,-0.005963,0.006225,-0.005698,0.015022,0.002873,1.000000
3572009596.462616,0.039137,-0.005486,-0.022320,-0.005353,-0.032314,0.003236,1.000000
3572009596.472616,0.012949,-0.004169,-0.020194,-0.005862,-0.007549,0.002188,1.000000
3572009596.482614,-0.006413,-0.003665,0.008847,-0.006294,-0.069857,0.001901,1.000000
3572009596.492618,0.043749,-0.003748,0.017734,-0.005854,-0.015242,-0.000224,1.000000
3572009596.502618,-0.045229,-0.002346,0.034899,-0.005164,0.024360,-0.000676,1.000000
3572009596.512617,-0.010497,-0.003614,-0.027765,-0.003987,-0.020810,0.000055,1.000000
3572009596.522618,0.028161,-0.003819,-0.000732,-0.004696,0.011811,-0.000570,1.000000
3572009596.532618,0.000703,-0.002875,0.023346,-0.004586,-0.011035,-0.000212,1.000000
3572009596.542617,0.003052,-0.002771,0.018394,-0.003767,0.019942,-0.000540,1.000000
3572009596.552619,-0.017498,-0.002600,0.019883,-0.003118,0.001085,0.000057,1.000000
3572009596.562620,-0.033005,-0.003041,-0.042121,-0.002444,-0.040845,0.000081,1.000000
3572009596.572620,0.002718,-0.003928,-0.050821,-0.003622,-0.026804,-0.001138,1.000000
3572009596.582619,-0.054660,-0.003734,0.032282,-0.005024,-0.020907,-0.001909,1.000000
3572009596.592620,0.013242,-0.005241,-0.009585,-0.003927,-0.031003,-0.002485,1.000000
3572009596.602621,0.021719,-0.004697,-0.006181,-0.004100,0.025443,-0.003345,1.000000
3572009596.612620,-0.013197,-0.003918,0.023308,-0.004168,0.001393,-0.002511,1.000000
3572009596.622623,-0.001048,-0.004193,-0.002157,-0.003361,0.025293,-0.002411,1.000000
3572009596.632621,-0.017498,-0.004102,0.026189,-0.003331,0.044442,-0.001606,1.000000
3572009596.642621,0.037592,-0.004500,-0.033693,-0.002464,0.060159,-0.000255,1.000000
3572009596.652622,0.000092,-0.003257,0.031359,-0.003393,-0.001845,0.001527,1.000000
3572009596.662622,0.001098,-0.003159,-0.023707,-0.002371,-0.029569,0.001428,1.000000
3572009596.672623,-0.064727,-0.003035,0.004772,-0.003007,-0.030792,0.000509,1.000000
