Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571298797.922515,0.033403,-0.012811,-0.105737,0.004433,-0.056130,0.006641
3571298797.932518,-0.029363,-0.010563,-0.045442,-0.000933,0.048807,0.003604
3571298797.942516,0.052880,-0.011485,-0.073283,-0.003099,-0.043436,0.005833
3571298797.952517,0.032016,-0.008351,-0.022649,-0.006518,-0.075473,0.003453
3571298797.962517,-0.070284,-0.006386,0.022315,-0.007301,-0.021420,-0.000383
3571298797.972517,-0.108858,-0.009507,-0.042067,-0.005853,-0.019860,-0.001404
3571298797.982517,0.099067,-0.014358,0.133433,-0.007615,0.041380,-0.002303
3571298797.992517,0.037979,-0.008832,0.080244,-0.000732,0.028810,-0.000169
3571298798.002516,-0.111440,-0.006554,0.017378,0.003223,-0.001743,0.001253
3571298798.012518,-0.053181,-0.011674,0.035421,0.003921,-0.000532,0.001118
3571298798.022518,-0.026806,-0.013704,-0.054497,0.005465,-0.024500,0.001047
3571298798.032518,0.113163,-0.014349,0.014692,0.002548,-0.034187,-0.000191
3571298798.042518,-0.010274,-0.008136,-0.052907,0.003147,-0.054873,-0.001847
3571298798.052520,-0.061330,-0.008244,0.051249,0.000421,0.014936,-0.004437
3571298798.062520,0.040086,-0.010838,0.031799,0.002907,0.110407,-0.003499
3571298798.072521,-0.066831,-0.008360,-0.043429,0.004323,-0.024055,0.002060
3571298798.082520,-0.106919,-0.011216,0.031165,0.002001,-0.030370,0.000797
3571298798.092521,-0.045566,-0.015890,-0.050046,0.003430,-0.005834,-0.000717
3571298798.102520,-0.012182,-0.017345,0.015785,0.000828,-0.059252,-0.000963
3571298798.112521,-0.065166,-0.017100,-0.030849,0.001565,0.033751,-0.003807
3571298798.122521,-0.077057,-0.019453,-0.020054,-0.000010,-0.001184,-0.001979
3571298798.132522,-0.073444,-0.022272,-0.008445,-0.000982,-0.026755,-0.001940
3571298798.142521,-0.024930,-0.024778,-0.055638,-0.001340,0.006196,-0.003153
3571298798.152521,-0.002634,-0.024796,-0.066154,-0.003984,-0.003101,-0.002700
3571298798.162521,0.032406,-0.023726,0.033693,-0.007012,0.054739,-0.002721
3571298798.172523,-0.011925,-0.020998,0.000104,-0.005024,0.140099,0.000084
3571298798.182523,-0.000424,-0.020566,0.008264,-0.004772,0.061272,0.006932
3571298798.192523,0.019211,-0.019592,0.077195,-0.004135,0.090442,0.009616
3571298798.202523,0.014669,-0.017709,0.046109,-0.000166,0.042759,0.013604
3571298798.212523,0.028603,-0.016137,0.064031,0.002094,-0.017324,0.015079
3571298798.222523,-0.040680,-0.013962,0.028817,0.005119,0.003153,0.013551
3571298798.232524,0.098001,-0.015272,0.013748,0.006279,-0.013843,0.013092
3571298798.242524,-0.078539,-0.009754,-0.025772,0.006649,-0.056740,0.011824
3571298798.252525,0.064441,-0.013114,-0.048457,0.005073,-0.006800,0.008516
3571298798.262525,-0.012257,-0.009337,0.014798,0.002466,-0.022757,0.007800
3571298798.272525,-0.019831,-0.009484,-0.044940,0.003072,0.058529,0.006336
3571298798.282525,0.037594,-0.009993,-0.064656,0.000733,-0.003309,0.008909
3571298798.292526,0.039372,-0.007677,-0.051342,-0.002454,-0.006597,0.008345
3571298798.302526,-0.117775,-0.005386,0.056660,-0.004838,0.061072,0.007645
3571298798.312528,-0.008857,-0.010872,-0.039996,-0.001838,-0.065056,0.010283
3571298798.322526,0.079400,-0.010779,-0.116480,-0.003698,0.013631,0.006639
3571298798.332528,0.020192,-0.006385,0.002049,-0.009199,-0.050021,0.007005
3571298798.342527,-0.028364,-0.005092,0.009147,-0.008652,-0.081698,0.004245
3571298798.352527,0.018201,-0.006230,0.011284,-0.007784,-0.067911,0.000062
3571298798.362528,-0.008956,-0.005042,-0.008021,-0.006854,0.010172,-0.003257
3571298798.372528,0.061382,-0.005236,0.076807,-0.006911,-0.025220,-0.002610
3571298798.382528,-0.007293,-0.001990,0.022387,-0.002827,0.068064,-0.003722
