Absolute Time,x_noise,x_hat,y_noise,y_hat,psi_noise,psi_hat
3571296794.233338,0.280430,0.047394,-0.167070,-0.027409,0.860923,0.040851
3571296794.243340,-0.682635,0.058785,0.452293,-0.034275,0.310847,0.081031
3571296794.253339,-0.305698,0.022614,0.109592,-0.010606,-0.011343,0.092507
3571296794.263339,-0.223000,0.006563,-0.267175,-0.004792,-0.375052,0.087716
3571296794.273339,-0.121657,-0.004691,0.383434,-0.017620,-0.234505,0.065372
3571296794.283340,0.048866,-0.010451,-0.401867,0.001903,-0.014590,0.050909
3571296794.293340,0.210198,-0.007605,0.177023,-0.017837,-0.699870,0.047846
3571296794.303336,-0.077439,0.002952,0.161259,-0.008340,0.099486,0.011444
3571296794.313340,-0.044706,-0.001010,0.079108,-0.000114,-0.338160,0.015747
3571296794.323341,-0.027527,-0.003198,-0.230674,0.003730,0.049285,-0.001527
3571296794.333341,0.012795,-0.004431,0.398890,-0.007743,-0.213780,0.000914
3571296794.343343,-0.031193,-0.003646,0.224596,0.012064,0.211583,-0.009608
3571296794.353343,-0.204836,-0.005032,-0.202628,0.022390,-0.011924,0.001128
3571296794.363342,0.181600,-0.014828,-0.597098,0.011386,-0.111308,0.000457
3571296794.373341,0.326062,-0.005303,0.324251,-0.018322,0.079008,-0.005036
3571296794.383342,-0.004579,0.010817,0.051580,-0.001657,-0.326959,-0.000980
3571296794.393342,-0.189502,0.010016,-0.186164,0.000919,-0.246136,-0.016943
3571296794.403344,-0.467328,0.000235,0.019736,-0.008228,-0.217334,-0.028229
3571296794.413342,0.141179,-0.022624,-0.047694,-0.006889,0.214378,-0.037593
3571296794.423343,0.430644,-0.014678,-0.015087,-0.008926,-0.313934,-0.025438
3571296794.433344,-0.419180,0.006986,0.327570,-0.009246,-0.140727,-0.039644
3571296794.443344,-0.643742,-0.013849,0.277463,0.007158,0.042604,-0.044743
3571296794.453345,0.145982,-0.044625,-0.428935,0.020315,-0.323253,-0.040653
3571296794.463346,-0.126675,-0.035393,0.299082,-0.001597,0.064489,-0.054621
3571296794.473345,-0.229754,-0.039901,0.238048,0.013042,0.722205,-0.049009
3571296794.483346,-0.134433,-0.049192,0.048601,0.023964,-0.493873,-0.011520
3571296794.493346,-0.182351,-0.053408,0.075218,0.025181,0.414527,-0.035147
3571296794.503342,0.020559,-0.059747,-0.405575,0.027584,-0.103724,-0.013319
3571296794.513345,0.276955,-0.055892,-0.150586,0.006447,-0.226305,-0.017800
3571296794.523347,0.015217,-0.039718,0.083050,-0.001219,0.246375,-0.028064
3571296794.533346,-0.162645,-0.037084,0.115878,0.002858,-0.176885,-0.014768
3571296794.543347,0.098951,-0.043262,-0.215877,0.008360,0.153305,-0.022755
3571296794.553346,0.054440,-0.036375,-0.364307,-0.002604,-0.449787,-0.014245
3571296794.563347,-0.249539,-0.032001,0.376453,-0.020245,0.272180,-0.035584
3571296794.573347,-0.221215,-0.042651,-0.171007,-0.000932,0.176284,-0.020680
3571296794.583349,-0.399064,-0.051406,-0.326613,-0.009255,-0.641246,-0.011140
3571296794.593348,-0.272750,-0.068419,0.105743,-0.024720,-0.112643,-0.041970
3571296794.603344,-0.012139,-0.078444,-0.547521,-0.018376,0.135844,-0.045572
3571296794.613348,-0.098503,-0.075265,0.412140,-0.044219,0.066681,-0.036867
3571296794.623348,-0.654517,-0.076455,0.041938,-0.021996,-0.380690,-0.031935
3571296794.633349,-0.152436,-0.104717,-0.185388,-0.018877,-0.370291,-0.049084
3571296794.643351,-0.157990,-0.107118,0.112748,-0.026997,-0.611072,-0.064941
3571296794.653350,-0.206228,-0.109671,0.074946,-0.020160,-0.215521,-0.091839
3571296794.663350,-0.239246,-0.114455,-0.121146,-0.015523,-0.472798,-0.098186
3571296794.673350,-0.225632,-0.120615,0.791058,-0.020654,-0.100246,-0.116810
3571296794.683351,0.316927,-0.125815,-0.128449,0.018935,0.111658,-0.116385
3571296794.693351,-0.122045,-0.104297,-0.157454,0.011739,-0.321617,-0.105625
3571296794.703351,-0.061111,-0.105230,-0.118176,0.003508,-0.523878,-0.116517
3571296794.713351,-0.437762,-0.103139,0.337278,-0.002392,-0.114896,-0.136791
3571296794.723351,-0.303801,-0.119530,-0.239042,0.014187,-0.023478,-0.136159
3571296794.733351,-0.315653,-0.128595,0.434452,0.001846,0.680771,-0.131085
3571296794.743352,-0.388244,-0.137784,0.312027,0.022902,-0.209829,-0.091833
3571296794.753352,0.356360,-0.150074,-0.016845,0.037033,0.211442,-0.097876
3571296794.763354,-0.385617,-0.125455,-0.054320,0.034404,0.198480,-0.083060
3571296794.773352,0.824343,-0.138221,-0.148413,0.030075,-0.095120,-0.069549
3571296794.783352,-0.065211,-0.091345,-0.223029,0.021389,0.044580,-0.070994
3571296794.793355,0.120716,-0.090131,0.182221,0.009475,0.247217,-0.065545
3571296794.803349,-0.119191,-0.079906,-0.029199,0.017894,0.196456,-0.050442
3571296794.813354,-0.184334,-0.081879,-0.222193,0.015593,0.321301,-0.038505
3571296794.823355,-1.007408,-0.086932,0.282284,0.003982,0.043841,-0.021011
3571296794.833354,-0.056215,-0.131893,-0.026530,0.017556,0.349585,-0.017868
3571296794.843356,0.350354,-0.128276,-0.052667,0.015384,-0.248334,0.000069
3571296794.853355,0.087020,-0.105002,-0.009343,0.012087,0.185647,-0.012022
3571296794.863355,0.252988,-0.095702,-0.204512,0.011035,0.111732,-0.002361
3571296794.873355,0.016991,-0.078757,-0.975519,0.000516,0.088445,0.003250
3571296794.883357,-0.177582,-0.074144,0.155112,-0.047103,0.257078,0.007472
3571296794.893357,-0.705301,-0.079239,0.865603,-0.037276,0.290947,0.019741
3571296794.903353,0.254591,-0.109829,0.306171,0.006730,0.557408,0.033101
3571296794.913356,0.007822,-0.092106,-0.063207,0.021299,0.588282,0.058867
3571296794.923357,-0.432131,-0.087274,0.704402,0.017140,0.056878,0.084967
3571296794.933357,-0.018848,-0.104151,-0.250403,0.050649,-0.063381,0.083914
3571296794.943358,0.077654,-0.100052,0.315952,0.035968,-0.011666,0.077029
3571296794.953359,0.156977,-0.091443,-0.451694,0.049621,0.556611,0.072981
3571296794.963358,-0.221706,-0.079371,-0.369903,0.025135,-0.234851,0.096878
3571296794.973358,0.206499,-0.086374,-0.040100,0.005863,0.385197,0.081022
3571296794.983357,-0.116457,-0.072132,-0.141745,0.003576,0.279611,0.096177
3571296794.993359,-0.139606,-0.074337,0.236900,-0.003557,0.563563,0.105482
3571296795.003360,0.196212,-0.077548,-0.231000,0.008111,0.693511,0.128232
3571296795.013360,0.170090,-0.064211,-0.010641,-0.003616,-0.231872,0.156292
3571296795.023360,-0.241995,-0.052844,-0.527177,-0.003993,0.219484,0.137863
3571296795.033360,0.023881,-0.062107,0.048388,-0.029572,0.266812,0.142320
3571296795.043360,-0.087089,-0.057949,-0.072498,-0.025841,-0.166630,0.148882
3571296795.053360,0.137817,-0.059432,-0.294288,-0.028168,0.580940,0.133966
3571296795.063362,-0.478590,-0.049819,0.424621,-0.041232,-0.013455,0.156247
