x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000498,-0.000656
0.001507,-0.002376
0.002484,-0.004938
0.003372,-0.008369
0.004171,-0.012664
0.004872,-0.017812
0.005470,-0.023796
0.005963,-0.030594
0.006351,-0.038183
0.006634,-0.046537
0.006809,-0.055630
0.006874,-0.065436
0.006825,-0.075930
0.006658,-0.087089
0.006368,-0.098890
0.005952,-0.111313
0.005403,-0.124340
0.004717,-0.137954
0.003885,-0.152140
0.002895,-0.166885
0.001746,-0.182178
0.000431,-0.198009
-0.001051,-0.214368
-0.002704,-0.231245
-0.004529,-0.248634
-0.006529,-0.266528
-0.008704,-0.284918
-0.011056,-0.303800
-0.013584,-0.323167
-0.016287,-0.343014
-0.019165,-0.363334
-0.022216,-0.384123
-0.025439,-0.405374
-0.028829,-0.427083
-0.032386,-0.449242
-0.036104,-0.471847
-0.039982,-0.494890
-0.044014,-0.518367
-0.048196,-0.542269
-0.052524,-0.566590
-0.056992,-0.591323
-0.061596,-0.616460
-0.066330,-0.641993
-0.071188,-0.667915
-0.076165,-0.694217
-0.081254,-0.720889
-0.086450,-0.747925
-0.091745,-0.775313
-0.097135,-0.803045
-0.102611,-0.831112
-0.108167,-0.859503
-0.113796,-0.888210
-0.119492,-0.917222
-0.125246,-0.946529
-0.131053,-0.976122
-0.136904,-1.005990
-0.142792,-1.036123
-0.148710,-1.066511
-0.154649,-1.097146
-0.160601,-1.128017
-0.166559,-1.159115
-0.172514,-1.190432
-0.178458,-1.221959
-0.184382,-1.253687
-0.190278,-1.285609
-0.196137,-1.317716
-0.201950,-1.350002
-0.207708,-1.382459
-0.213403,-1.415081
-0.219026,-1.447862
-0.224567,-1.480796
-0.230017,-1.513877
-0.235368,-1.547102
-0.240610,-1.580465
-0.245735,-1.613962
-0.250734,-1.647589
-0.255598,-1.681344
-0.260318,-1.715223
-0.264886,-1.749224
-0.269294,-1.783345
-0.273534,-1.817583
-0.277598,-1.851938
-0.281478,-1.886407
-0.285168,-1.920991
-0.288659,-1.955687
-0.291946,-1.990496
-0.295022,-2.025418
-0.297882,-2.060450
-0.300518,-2.095595
-0.302927,-2.130852
-0.305102,-2.166220
-0.307040,-2.201700
-0.308736,-2.237292
-0.310186,-2.272997
-0.311387,-2.308813
-0.312335,-2.344743
-0.313027,-2.380785
-0.313462,-2.416940
-0.313635,-2.453208
-0.313546,-2.489588
-0.313193,-2.526082
-0.312575,-2.562687
-0.311689,-2.599404
-0.310536,-2.636233
-0.309114,-2.673172
-0.307423,-2.710222
-0.305463,-2.747382
-0.303233,-2.784651
-0.300732,-2.822028
-0.297962,-2.859512
-0.294922,-2.897103
-0.291613,-2.934800
-0.288035,-2.972600
-0.284187,-3.010505
-0.280072,-3.048511
-0.275688,-3.086618
-0.271038,-3.124824
-0.266121,-3.163128
-0.260937,-3.201529
-0.255489,-3.240026
-0.249775,-3.278616
-0.243797,-3.317298
-0.237555,-3.356071
-0.231050,-3.394933
-0.224283,-3.433883
-0.217253,-3.472918
-0.209961,-3.512038
-0.202407,-3.551240
-0.194593,-3.590523
-0.186517,-3.629885
-0.178181,-3.669325
-0.169584,-3.708840
-0.160727,-3.748428
-0.151609,-3.788089
-0.142231,-3.827819
-0.132593,-3.867618
-0.122694,-3.907484
-0.112534,-3.947413
-0.102114,-3.987406
-0.091433,-4.027459
-0.080490,-4.067570
-0.069286,-4.107739
-0.057821,-4.147962
-0.046092,-4.188238
-0.034101,-4.228564
-0.021847,-4.268939
-0.009330,-4.309361
0.003452,-4.349828
0.016498,-4.390337
0.029810,-4.430886
0.043387,-4.471474
0.057230,-4.512098
0.071340,-4.552756
0.085717,-4.593446
0.100362,-4.634165
0.115275,-4.674913
0.130457,-4.715686
0.145909,-4.756482
0.161631,-4.797300
0.177624,-4.838137
0.193888,-4.878990
0.210424,-4.919859
0.227232,-4.960739
0.244312,-5.001631
0.261666,-5.042530
0.279294,-5.083436
0.297197,-5.124345
0.315373,-5.165256
0.333826,-5.206166
0.352553,-5.247074
0.371557,-5.287977
0.390838,-5.328873
0.410395,-5.369760
0.430229,-5.410635
0.450341,-5.451497
0.470731,-5.492342
0.491399,-5.533170
0.512345,-5.573978
0.533571,-5.614764
0.555075,-5.655525
0.576859,-5.696260
0.598922,-5.736966
0.621265,-5.777640
0.643888,-5.818282
0.666791,-5.858889
0.689974,-5.899458
0.713438,-5.939987
0.737183,-5.980475
0.761208,-6.020918
0.785513,-6.061316
0.810100,-6.101665
0.834968,-6.141964
0.860116,-6.182210
0.885546,-6.222401
0.911256,-6.262535
0.937248,-6.302610
0.963521,-6.342624
0.990075,-6.382574
1.016909,-6.422458
1.044025,-6.462275
1.071422,-6.502022
1.099099,-6.541696
1.127058,-6.581296
1.155296,-6.620819
1.183816,-6.660264
1.212615,-6.699627
1.241695,-6.738907
1.271055,-6.778103
1.300694,-6.817210
1.330614,-6.856228
1.360812,-6.895154
1.391290,-6.933986
1.422047,-6.972722
1.453082,-7.011359
1.484396,-7.049896
1.515987,-7.088329
1.547857,-7.126658
1.580004,-7.164880
1.612428,-7.202993
1.645128,-7.240994
1.678105,-7.278881
1.711358,-7.316653
1.744886,-7.354306
1.778690,-7.391839
1.812768,-7.429251
1.847120,-7.466537
1.881745,-7.503697
1.916644,-7.540728
1.951816,-7.577628
1.987259,-7.614395
2.022974,-7.651027
2.058960,-7.687521
2.095216,-7.723876
2.131742,-7.760090
2.168537,-7.796159
2.205600,-7.832082
2.242931,-7.867858
2.280529,-7.903483
2.318394,-7.938956
2.356524,-7.974275
2.394919,-8.009437
2.433578,-8.044440
