x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000060,0.000006
0.000201,-0.000146
0.000455,-0.000629
0.000886,-0.001450
0.001494,-0.002609
0.002280,-0.004108
0.003241,-0.005945
0.004376,-0.008118
0.005682,-0.010623
0.007157,-0.013457
0.008796,-0.016616
0.010593,-0.020096
0.012546,-0.023890
0.014651,-0.027993
0.016902,-0.032399
0.019298,-0.037101
0.021832,-0.042092
0.024502,-0.047363
0.027302,-0.052905
0.030228,-0.058711
0.033276,-0.064770
0.036441,-0.071072
0.039718,-0.077608
0.043102,-0.084367
0.046590,-0.091339
0.050176,-0.098513
0.053856,-0.105877
0.057625,-0.113422
0.061478,-0.121136
0.065411,-0.129009
0.069419,-0.137030
0.073498,-0.145190
0.077642,-0.153479
0.081849,-0.161886
0.086113,-0.170404
0.090430,-0.179022
0.094797,-0.187733
0.099208,-0.196529
0.103660,-0.205403
0.108150,-0.214346
0.112673,-0.223354
0.117226,-0.232420
0.121806,-0.241537
0.126408,-0.250701
0.131031,-0.259907
0.135670,-0.269151
0.140323,-0.278428
0.144986,-0.287735
0.149657,-0.297068
0.154334,-0.306424
0.159014,-0.315801
0.163693,-0.325196
0.168371,-0.334606
0.173045,-0.344031
0.177712,-0.353467
0.182370,-0.362914
0.187018,-0.372370
0.191654,-0.381835
0.196276,-0.391307
0.200882,-0.400785
0.205471,-0.410268
0.210041,-0.419757
0.214591,-0.429251
0.219119,-0.438749
0.223624,-0.448251
0.228105,-0.457757
0.232561,-0.467268
0.236990,-0.476782
0.241392,-0.486301
0.245766,-0.495823
0.250110,-0.505351
0.254425,-0.514883
0.258708,-0.524421
0.262960,-0.533964
0.267179,-0.543512
0.271365,-0.553067
0.275518,-0.562629
0.279636,-0.572197
0.283720,-0.581774
0.287768,-0.591358
0.291781,-0.600951
0.295758,-0.610553
0.299699,-0.620165
0.303603,-0.629786
0.307470,-0.639419
0.311300,-0.649062
0.315093,-0.658718
0.318848,-0.668385
0.322565,-0.678066
0.326245,-0.687759
0.329887,-0.697467
0.333491,-0.707189
0.337057,-0.716925
0.340586,-0.726677
0.344076,-0.736445
0.347529,-0.746230
0.350944,-0.756031
0.354321,-0.765849
0.357661,-0.775685
0.360963,-0.785539
0.364229,-0.795412
0.367457,-0.805304
0.370649,-0.815215
0.373804,-0.825146
0.376923,-0.835097
0.380006,-0.845069
0.383054,-0.855062
0.386066,-0.865075
0.389043,-0.875111
0.391985,-0.885168
0.394893,-0.895247
0.397768,-0.905349
0.400608,-0.915473
0.403416,-0.925620
0.406191,-0.935791
0.408933,-0.945984
0.411644,-0.956202
0.414323,-0.966443
0.416971,-0.976708
0.419589,-0.986997
0.422177,-0.997310
0.424735,-1.007647
0.427265,-1.018009
0.429766,-1.028396
0.432239,-1.038807
0.434684,-1.049242
0.437103,-1.059703
0.439495,-1.070188
0.441861,-1.080698
0.444202,-1.091233
0.446519,-1.101793
0.448811,-1.112378
0.451080,-1.122987
0.453325,-1.133621
0.455548,-1.144280
0.457750,-1.154964
0.459930,-1.165672
0.462089,-1.176405
0.464229,-1.187162
0.466349,-1.197943
0.468450,-1.208749
0.470532,-1.219579
0.472597,-1.230432
0.474645,-1.241309
0.476677,-1.252210
0.478692,-1.263135
0.480692,-1.274083
0.482678,-1.285053
0.484649,-1.296047
0.486607,-1.307063
0.488552,-1.318102
0.490484,-1.329163
0.492405,-1.340246
0.494315,-1.351351
0.496214,-1.362477
0.498103,-1.373625
0.499983,-1.384794
0.501855,-1.395983
0.503718,-1.407194
0.505573,-1.418424
0.507422,-1.429674
0.509264,-1.440944
0.511100,-1.452233
0.512931,-1.463541
0.514758,-1.474868
0.516580,-1.486214
0.518398,-1.497578
0.520214,-1.508959
0.522027,-1.520358
0.523838,-1.531774
0.525648,-1.543207
0.527457,-1.554657
0.529266,-1.566123
0.531075,-1.577604
0.532885,-1.589101
0.534696,-1.600614
0.536509,-1.612141
0.538325,-1.623682
0.540143,-1.635238
0.541965,-1.646807
0.543790,-1.658390
0.545620,-1.669986
0.547455,-1.681595
0.549295,-1.693216
0.551141,-1.704849
0.552993,-1.716493
0.554852,-1.728149
0.556719,-1.739816
0.558593,-1.751493
0.560475,-1.763181
0.562366,-1.774878
0.564266,-1.786585
0.566175,-1.798301
0.568095,-1.810025
0.570024,-1.821758
0.571965,-1.833499
0.573917,-1.845248
0.575880,-1.857004
0.577856,-1.868767
0.579844,-1.880536
0.581845,-1.892312
0.583859,-1.904094
0.585886,-1.915881
0.587928,-1.927673
0.589984,-1.939471
0.592055,-1.951272
0.594141,-1.963078
0.596242,-1.974888
0.598360,-1.986701
0.600493,-1.998517
0.602643,-2.010336
0.604810,-2.022157
0.606994,-2.033980
0.609196,-2.045806
0.611416,-2.057632
0.613653,-2.069460
0.615910,-2.081288
0.618185,-2.093117
0.620479,-2.104946
0.622792,-2.116775
0.625126,-2.128603
0.627479,-2.140430
0.629852,-2.152257
0.632247,-2.164081
0.634661,-2.175904
0.637097,-2.187725
0.639555,-2.199544
0.642034,-2.211360
0.644535,-2.223173
0.647058,-2.234982
0.649603,-2.246789
0.652171,-2.258591
0.654762,-2.270389
0.657375,-2.282183
0.660012,-2.293972
0.662673,-2.305756
0.665357,-2.317534
0.668066,-2.329308
0.670798,-2.341075
0.673555,-2.352837
0.676336,-2.364592
0.679142,-2.376340
0.681973,-2.388082
0.684829,-2.399816
