x_noise,y_noise
1.635025,6.791478
1.635523,6.792149
1.636015,6.792817
1.636500,6.793484
1.636979,6.794149
1.637452,6.794811
1.637918,6.795472
1.638378,6.796130
1.638831,6.796787
1.639278,6.797441
1.639719,6.798094
1.640154,6.798744
1.640582,6.799393
1.641003,6.800039
1.641418,6.800684
1.641827,6.801326
1.642230,6.801967
1.642626,6.802605
1.643015,6.803242
1.643399,6.803876
1.643776,6.804509
1.644146,6.805139
1.644510,6.805768
1.644868,6.806395
1.645220,6.807020
1.645565,6.807643
1.645903,6.808264
1.646236,6.808883
1.646561,6.809500
1.646881,6.810115
1.647194,6.810729
1.647501,6.811340
1.647801,6.811950
1.648095,6.812557
1.648383,6.813163
1.648664,6.813767
1.648938,6.814369
1.649207,6.814970
1.649469,6.815568
1.649724,6.816164
1.649974,6.816759
1.650216,6.817352
1.650453,6.817943
1.650683,6.818532
1.650906,6.819119
1.651124,6.819705
1.651334,6.820289
1.651539,6.820870
1.651737,6.821450
1.651928,6.822029
1.652114,6.822605
1.652292,6.823180
1.652465,6.823753
1.652631,6.824324
1.652790,6.824893
1.652944,6.825460
1.653090,6.826026
1.653231,6.826590
1.653365,6.827152
1.653492,6.827713
1.653613,6.828271
1.653728,6.828828
1.653837,6.829383
1.653938,6.829937
1.654034,6.830488
1.654123,6.831038
1.654206,6.831586
1.654282,6.832133
1.654352,6.832678
1.654415,6.833221
1.654472,6.833762
1.654523,6.834301
1.654567,6.834839
1.654605,6.835375
1.654636,6.835910
1.654661,6.836442
1.654680,6.836973
1.654692,6.837502
1.654697,6.838030
1.654697,6.838556
1.654690,6.839080
1.654676,6.839602
1.654656,6.840123
1.654629,6.840642
1.654597,6.841160
1.654557,6.841676
1.654512,6.842190
1.654459,6.842702
1.654401,6.843213
1.654336,6.843722
1.654264,6.844229
1.654187,6.844735
1.654102,6.845239
1.654011,6.845741
1.653914,6.846242
1.653811,6.846741
1.653701,6.847239
1.653584,6.847735
1.653461,6.848229
1.653332,6.848721
1.653196,6.849212
1.653054,6.849702
1.652905,6.850189
1.652750,6.850675
1.652589,6.851160
1.652421,6.851642
1.652247,6.852123
1.652066,6.852603
1.651879,6.853081
1.651685,6.853557
1.651485,6.854032
1.651278,6.854505
1.651065,6.854976
1.650846,6.855446
1.650620,6.855914
1.650388,6.856380
1.650149,6.856845
1.649904,6.857309
1.649652,6.857770
1.649394,6.858231
1.649130,6.858689
1.648859,6.859146
1.648581,6.859601
1.648298,6.860055
1.648007,6.860507
1.647711,6.860958
1.647408,6.861407
1.647098,6.861854
1.646782,6.862300
1.646460,6.862744
1.646131,6.863186
1.645795,6.863627
1.645454,6.864067
1.645106,6.864505
1.644751,6.864941
1.644390,6.865376
1.644022,6.865809
1.643649,6.866240
1.643268,6.866670
1.642881,6.867098
1.642488,6.867525
1.642089,6.867950
1.641682,6.868374
