x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000049,-0.000006
0.000192,-0.000022
0.000415,-0.000051
0.000707,-0.000095
0.001068,-0.000155
0.001497,-0.000231
0.001995,-0.000322
0.002558,-0.000428
0.003187,-0.000550
0.003880,-0.000686
0.004637,-0.000837
0.005456,-0.001003
0.006337,-0.001183
0.007278,-0.001377
0.008279,-0.001584
0.009339,-0.001806
0.010457,-0.002041
0.011631,-0.002289
0.012862,-0.002550
0.014148,-0.002824
0.015488,-0.003111
0.016882,-0.003410
0.018329,-0.003722
0.019828,-0.004046
0.021378,-0.004382
0.022978,-0.004729
0.024629,-0.005088
0.026328,-0.005459
0.028075,-0.005840
0.029871,-0.006233
0.031713,-0.006637
0.033601,-0.007051
0.035534,-0.007477
0.037512,-0.007912
0.039534,-0.008358
0.041600,-0.008813
0.043708,-0.009279
0.045859,-0.009754
0.048050,-0.010239
0.050283,-0.010733
0.052555,-0.011237
0.054867,-0.011750
0.057218,-0.012272
0.059607,-0.012802
0.062034,-0.013342
0.064497,-0.013890
0.066998,-0.014446
0.069534,-0.015010
0.072105,-0.015583
0.074711,-0.016164
0.077352,-0.016752
0.080026,-0.017348
0.082733,-0.017952
0.085473,-0.018563
0.088245,-0.019182
0.091048,-0.019808
0.093882,-0.020441
0.096747,-0.021080
0.099642,-0.021727
0.102566,-0.022380
0.105519,-0.023040
0.108501,-0.023706
0.111511,-0.024379
0.114548,-0.025058
0.117613,-0.025743
0.120704,-0.026434
0.123822,-0.027130
0.126965,-0.027833
0.130133,-0.028541
0.133327,-0.029255
0.136545,-0.029974
0.139787,-0.030698
0.143052,-0.031428
0.146341,-0.032163
0.149652,-0.032902
0.152986,-0.033647
0.156342,-0.034396
0.159720,-0.035150
0.163119,-0.035909
0.166538,-0.036672
0.169979,-0.037439
0.173439,-0.038211
0.176919,-0.038987
0.180418,-0.039767
0.183937,-0.040551
0.187474,-0.041339
0.191029,-0.042131
0.194602,-0.042926
0.198193,-0.043726
0.201802,-0.044528
0.205427,-0.045334
0.209069,-0.046144
0.212727,-0.046956
0.216402,-0.047772
0.220092,-0.048591
0.223797,-0.049413
0.227518,-0.050238
0.231253,-0.051066
0.235003,-0.051896
0.238767,-0.052730
0.242545,-0.053566
0.246337,-0.054404
0.250142,-0.055245
0.253960,-0.056088
0.257791,-0.056933
0.261635,-0.057781
0.265490,-0.058631
0.269358,-0.059483
0.273238,-0.060336
0.277129,-0.061192
0.281031,-0.062050
0.284945,-0.062909
0.288869,-0.063770
0.292804,-0.064633
0.296749,-0.065497
0.300704,-0.066363
0.304669,-0.067230
0.308643,-0.068099
0.312627,-0.068969
0.316620,-0.069840
0.320623,-0.070712
0.324633,-0.071585
0.328653,-0.072460
0.332680,-0.073335
0.336716,-0.074211
0.340759,-0.075088
0.344811,-0.075966
0.348870,-0.076845
0.352936,-0.077724
0.357009,-0.078604
0.361089,-0.079484
0.365176,-0.080365
0.369269,-0.081246
0.373369,-0.082128
0.377475,-0.083010
0.381587,-0.083892
0.385705,-0.084774
0.389828,-0.085657
0.393957,-0.086539
0.398091,-0.087422
0.402231,-0.088305
0.406375,-0.089188
0.410524,-0.090070
0.414678,-0.090952
0.418837,-0.091835
0.422999,-0.092716
0.427166,-0.093598
0.431338,-0.094479
0.435513,-0.095360
0.439691,-0.096240
0.443874,-0.097120
0.448060,-0.098000
0.452249,-0.098878
0.456441,-0.099756
0.460637,-0.100634
0.464835,-0.101510
0.469037,-0.102386
0.473241,-0.103261
0.477447,-0.104135
0.481656,-0.105009
0.485868,-0.105881
0.490081,-0.106752
0.494297,-0.107623
0.498514,-0.108492
0.502733,-0.109360
0.506955,-0.110227
0.511177,-0.111093
0.515401,-0.111958
0.519627,-0.112821
0.523854,-0.113683
0.528082,-0.114544
0.532311,-0.115403
0.536541,-0.116261
0.540771,-0.117117
0.545003,-0.117972
0.549235,-0.118826
0.553468,-0.119678
0.557701,-0.120528
0.561935,-0.121377
0.566169,-0.122224
0.570403,-0.123069
0.574637,-0.123913
0.578871,-0.124755
0.583105,-0.125595
0.587339,-0.126433
0.591573,-0.127270
0.595806,-0.128104
0.600039,-0.128937
0.604272,-0.129768
0.608503,-0.130596
0.612734,-0.131423
0.616965,-0.132248
0.621194,-0.133071
0.625423,-0.133891
0.629651,-0.134710
0.633877,-0.135526
0.638103,-0.136340
0.642327,-0.137152
0.646550,-0.137962
0.650772,-0.138770
0.654993,-0.139575
0.659212,-0.140378
0.663429,-0.141179
0.667645,-0.141977
0.671859,-0.142773
0.676071,-0.143567
0.680282,-0.144358
0.684491,-0.145147
0.688698,-0.145933
0.692903,-0.146717
0.697106,-0.147498
0.701307,-0.148277
0.705506,-0.149053
0.709702,-0.149827
0.713897,-0.150598
0.718089,-0.151366
0.722279,-0.152132
0.726466,-0.152895
0.730651,-0.153656
0.734833,-0.154413
0.739013,-0.155168
0.743191,-0.155921
0.747365,-0.156670
0.751537,-0.157417
0.755707,-0.158161
0.759873,-0.158902
0.764037,-0.159640
0.768198,-0.160376
0.772356,-0.161109
0.776511,-0.161838
0.780663,-0.162565
0.784812,-0.163289
0.788958,-0.164010
0.793100,-0.164728
0.797240,-0.165443
0.801377,-0.166156
0.805510,-0.166865
0.809640,-0.167571
0.813767,-0.168274
0.817890,-0.168974
0.822010,-0.169671
0.826127,-0.170365
0.830240,-0.171056
0.834350,-0.171743
0.838456,-0.172428
0.842559,-0.173110
0.846658,-0.173788
0.850754,-0.174463
0.854846,-0.175135
