x_noise,y_noise
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000184,-0.000193
0.000575,-0.000745
0.001014,-0.001627
0.001502,-0.002838
0.002037,-0.004378
0.002619,-0.006248
0.003249,-0.008444
0.003927,-0.010967
0.004652,-0.013815
0.005424,-0.016985
0.006243,-0.020475
0.007108,-0.024281
0.008019,-0.028401
0.008976,-0.032829
0.009978,-0.037562
0.011023,-0.042593
0.012112,-0.047918
0.013243,-0.053528
0.014415,-0.059418
0.015628,-0.065580
0.016880,-0.072006
0.018166,-0.078686
0.019483,-0.085613
0.020829,-0.092777
0.022203,-0.100169
0.023602,-0.107779
0.025026,-0.115597
0.026472,-0.123614
0.027939,-0.131819
0.029425,-0.140203
0.030928,-0.148757
0.032446,-0.157470
0.033977,-0.166334
0.035518,-0.175339
0.037069,-0.184476
0.038625,-0.193738
0.040186,-0.203115
0.041749,-0.212601
0.043312,-0.222188
0.044873,-0.231869
0.046429,-0.241638
0.047978,-0.251488
0.049518,-0.261413
0.051047,-0.271409
0.052562,-0.281470
0.054061,-0.291592
0.055542,-0.301771
0.057003,-0.312002
0.058441,-0.322283
0.059855,-0.332609
0.061242,-0.342978
0.062601,-0.353388
0.063928,-0.363835
0.065223,-0.374319
0.066484,-0.384837
0.067707,-0.395386
0.068892,-0.405967
0.070037,-0.416578
0.071139,-0.427217
0.072197,-0.437884
0.073210,-0.448578
0.074175,-0.459298
0.075091,-0.470044
0.075956,-0.480816
0.076770,-0.491613
0.077530,-0.502435
0.078235,-0.513282
0.078883,-0.524154
0.079474,-0.535052
0.080006,-0.545975
0.080478,-0.556924
0.080889,-0.567898
0.081237,-0.578899
0.081522,-0.589926
0.081743,-0.600981
0.081899,-0.612062
0.081988,-0.623172
0.082011,-0.634309
0.081966,-0.645475
0.081853,-0.656670
0.081672,-0.667894
0.081421,-0.679149
0.081100,-0.690433
0.080709,-0.701748
0.080248,-0.713094
0.079716,-0.724472
0.079113,-0.735881
0.078439,-0.747322
0.077694,-0.758795
0.076878,-0.770300
0.075990,-0.781839
0.075032,-0.793409
0.074003,-0.805013
0.072903,-0.816649
0.071733,-0.828318
0.070494,-0.840020
0.069184,-0.851754
0.067806,-0.863521
0.066360,-0.875320
0.064846,-0.887151
0.063266,-0.899013
0.061619,-0.910906
0.059906,-0.922830
0.058130,-0.934784
0.056290,-0.946768
0.054388,-0.958780
0.052424,-0.970821
0.050400,-0.982888
0.048318,-0.994983
0.046178,-1.007102
0.043982,-1.019247
0.041731,-1.031415
0.039427,-1.043605
0.037071,-1.055817
0.034665,-1.068048
0.032211,-1.080299
0.029710,-1.092567
0.027165,-1.104850
0.024577,-1.117148
0.021948,-1.129459
0.019279,-1.141780
0.016574,-1.154112
0.013835,-1.166451
0.011063,-1.178795
0.008261,-1.191145
0.005431,-1.203496
0.002576,-1.215848
-0.000301,-1.228199
-0.003199,-1.240547
-0.006114,-1.252890
-0.009044,-1.265226
-0.011985,-1.277553
-0.014935,-1.289869
-0.017891,-1.302173
-0.020849,-1.314463
-0.023807,-1.326735
-0.026761,-1.338990
-0.029708,-1.351225
-0.032644,-1.363438
-0.035567,-1.375627
-0.038471,-1.387791
-0.041355,-1.399928
-0.044213,-1.412036
-0.047042,-1.424114
-0.049838,-1.436160
-0.052598,-1.448173
-0.055317,-1.460151
-0.057991,-1.472094
-0.060615,-1.483999
-0.063186,-1.495866
-0.065700,-1.507694
-0.068151,-1.519481
-0.070535,-1.531227
-0.072848,-1.542931
-0.075086,-1.554592
-0.077242,-1.566211
-0.079314,-1.577785
-0.081296,-1.589315
-0.083184,-1.600801
-0.084971,-1.612243
-0.086655,-1.623639
-0.088230,-1.634992
-0.089691,-1.646300
-0.091033,-1.657564
-0.092251,-1.668785
-0.093341,-1.679963
-0.094297,-1.691098
-0.095115,-1.702192
-0.095790,-1.713245
-0.096317,-1.724259
-0.096691,-1.735233
-0.096908,-1.746170
-0.096963,-1.757071
-0.096851,-1.767937
-0.096568,-1.778768
-0.096109,-1.789568
-0.095469,-1.800337
-0.094645,-1.811077
-0.093633,-1.821790
-0.092427,-1.832477
-0.091025,-1.843139
-0.089421,-1.853780
-0.087613,-1.864399
-0.085597,-1.875000
-0.083368,-1.885584
-0.080925,-1.896153
-0.078263,-1.906707
-0.075379,-1.917250
-0.072271,-1.927783
-0.068936,-1.938307
-0.065371,-1.948823
-0.061574,-1.959334
-0.057542,-1.969840
-0.053274,-1.980343
-0.048767,-1.990844
-0.044021,-2.001344
-0.039033,-2.011844
-0.033803,-2.022345
-0.028329,-2.032847
-0.022611,-2.043351
-0.016648,-2.053857
-0.010440,-2.064365
-0.003986,-2.074875
0.002713,-2.085387
0.009657,-2.095901
0.016845,-2.106415
0.024277,-2.116930
0.031951,-2.127443
0.039867,-2.137954
0.048022,-2.148461
0.056416,-2.158963
0.065045,-2.169457
0.073909,-2.179942
0.083003,-2.190416
0.092326,-2.200877
0.101875,-2.211321
0.111647,-2.221747
0.121637,-2.232152
0.131843,-2.242533
0.142260,-2.252886
0.152885,-2.263209
0.163713,-2.273499
0.174739,-2.283752
0.185958,-2.293965
0.197366,-2.304133
0.208958,-2.314254
0.220726,-2.324323
0.232667,-2.334337
0.244774,-2.344292
0.257040,-2.354185
0.269459,-2.364011
0.282025,-2.373766
0.294730,-2.383447
0.307569,-2.393050
0.320532,-2.402571
0.333613,-2.412007
0.346805,-2.421355
0.360099,-2.430610
0.373487,-2.439771
0.386962,-2.448834
0.400514,-2.457795
0.414136,-2.466654
0.427818,-2.475407
0.441552,-2.484053
0.455329,-2.492590
